resid,leaflet,X coords,Y coords,Z coords,Thickness
8123,lower leaflet,17.079,38.105,2.217,3.928
8124,lower leaflet,29.674,25.042,1.715,4.081
8125,lower leaflet,20.200,47.397,1.779,4.190
8126,lower leaflet,44.614,26.240,2.399,3.706
8127,lower leaflet,32.630,47.294,2.201,3.972
8128,lower leaflet,2.077,5.364,1.633,4.361
8129,lower leaflet,18.236,50.964,1.692,4.030
8130,lower leaflet,25.826,14.886,1.657,4.487
8131,lower leaflet,49.938,5.268,1.967,4.180
8132,lower leaflet,6.813,47.417,2.392,4.050
8133,lower leaflet,10.287,29.584,2.147,4.158
8134,lower leaflet,35.537,17.421,2.074,4.307
8135,lower leaflet,53.771,45.040,1.916,3.833
8136,lower leaflet,15.383,52.390,2.135,4.405
8137,lower leaflet,17.433,21.760,1.947,4.329
8138,lower leaflet,23.866,37.298,2.268,3.919
8139,lower leaflet,43.721,4.913,1.764,4.294
8140,lower leaflet,21.836,54.041,1.601,4.380
8141,lower leaflet,2.337,46.846,1.949,4.102
8142,lower leaflet,38.592,33.333,2.572,3.714
8143,lower leaflet,25.248,36.126,2.221,3.917
8144,lower leaflet,48.515,25.522,2.047,3.861
8145,lower leaflet,40.988,0.719,2.030,4.205
8146,lower leaflet,23.318,48.981,1.531,4.193
8147,lower leaflet,40.353,28.366,1.823,3.946
8148,lower leaflet,53.414,52.990,1.427,4.436
8149,lower leaflet,15.171,40.077,1.871,3.930
8150,lower leaflet,48.613,17.488,2.114,4.212
8151,lower leaflet,24.626,34.761,2.045,3.931
8152,lower leaflet,27.786,11.288,1.797,4.151
8153,lower leaflet,27.052,35.141,2.406,3.951
8154,lower leaflet,3.325,54.171,2.180,4.090
8155,lower leaflet,1.293,15.411,1.899,4.255
8156,lower leaflet,11.514,41.852,1.996,3.993
8157,lower leaflet,29.171,37.849,2.308,3.967
8158,lower leaflet,43.677,39.076,2.043,3.683
8159,lower leaflet,33.343,27.668,1.881,3.806
8160,lower leaflet,26.912,19.563,1.904,4.251
8161,lower leaflet,14.720,12.166,1.873,4.483
8162,lower leaflet,11.719,5.638,1.726,4.358
8163,lower leaflet,2.654,29.057,2.166,3.672
8164,lower leaflet,27.402,32.038,1.904,3.757
8165,lower leaflet,48.004,45.400,2.036,3.623
8166,lower leaflet,30.035,35.229,2.513,3.910
8167,lower leaflet,44.983,46.703,1.840,3.837
8168,lower leaflet,29.697,49.060,1.753,4.405
8169,lower leaflet,16.479,50.071,1.869,4.357
8170,lower leaflet,45.178,37.738,2.450,4.240
8171,lower leaflet,38.879,26.240,1.897,3.772
8172,lower leaflet,41.903,10.003,1.546,4.404
8173,lower leaflet,7.052,24.883,2.099,4.128
8174,lower leaflet,50.607,40.609,2.175,3.921
8175,lower leaflet,39.138,5.168,1.691,4.281
8176,lower leaflet,39.380,10.991,1.889,4.225
8177,lower leaflet,27.704,49.937,2.124,4.247
8178,lower leaflet,14.985,6.668,1.796,4.436
8179,lower leaflet,45.352,52.213,1.951,4.265
8180,lower leaflet,43.513,44.815,1.631,3.906
8181,lower leaflet,3.967,44.328,2.198,3.812
8182,lower leaflet,16.557,14.086,2.234,4.325
8183,lower leaflet,17.428,14.056,2.055,4.224
8184,lower leaflet,51.185,16.090,2.246,4.377
8185,lower leaflet,9.658,5.247,1.792,4.361
8186,lower leaflet,35.380,27.212,1.652,3.982
8187,lower leaflet,31.538,50.706,2.254,4.274
8188,lower leaflet,9.906,27.686,2.070,3.987
8189,lower leaflet,44.139,27.797,2.515,3.805
8190,lower leaflet,11.687,32.768,2.297,4.152
8191,lower leaflet,44.377,50.738,2.099,4.089
8192,lower leaflet,10.094,16.298,1.745,4.328
8193,lower leaflet,6.366,48.218,1.897,4.000
8194,lower leaflet,23.488,21.676,2.008,4.314
8195,lower leaflet,49.373,32.866,1.790,3.825
8196,lower leaflet,35.339,45.415,2.175,4.134
8197,lower leaflet,24.044,36.378,2.428,4.030
8198,lower leaflet,3.589,27.218,2.033,3.941
8199,lower leaflet,28.246,48.050,1.833,4.130
8200,lower leaflet,12.695,44.761,2.086,4.237
8201,lower leaflet,37.121,33.300,2.507,3.556
8202,lower leaflet,36.092,34.619,2.673,4.100
8203,lower leaflet,6.256,50.185,1.769,4.184
8204,lower leaflet,42.647,34.650,2.305,3.855
8205,lower leaflet,35.543,24.303,2.031,4.054
8206,lower leaflet,12.187,51.018,1.718,4.061
8207,lower leaflet,40.938,40.337,1.872,3.796
8208,lower leaflet,22.138,37.233,2.627,3.870
8209,lower leaflet,5.396,43.391,2.334,4.057
8210,lower leaflet,50.018,48.652,2.633,3.889
8211,lower leaflet,28.787,16.858,1.554,4.397
8212,lower leaflet,39.459,25.116,2.164,4.296
8213,lower leaflet,54.337,26.771,1.631,4.125
8214,lower leaflet,26.329,51.160,2.098,3.965
8215,lower leaflet,38.043,4.076,1.908,4.401
8216,lower leaflet,43.558,44.132,1.894,3.491
8217,lower leaflet,16.533,24.001,2.202,4.377
8218,lower leaflet,43.872,48.785,1.976,4.074
8219,lower leaflet,46.223,49.276,1.945,4.333
8220,lower leaflet,26.309,32.323,2.406,3.805
8221,lower leaflet,24.643,31.957,2.200,3.857
8222,lower leaflet,14.030,23.742,2.155,4.125
8223,lower leaflet,29.373,31.940,2.269,3.812
8224,lower leaflet,32.610,0.593,1.915,4.389
8225,lower leaflet,31.385,25.833,1.938,3.980
8226,lower leaflet,15.729,17.284,1.705,4.353
8227,lower leaflet,10.878,39.391,2.231,3.832
8228,lower leaflet,26.899,50.403,2.166,4.075
8229,lower leaflet,6.853,0.814,2.217,4.253
8230,lower leaflet,26.912,30.418,2.377,3.701
8231,lower leaflet,34.046,42.800,2.076,4.127
8232,lower leaflet,27.760,4.586,1.954,4.589
8233,lower leaflet,52.095,49.283,2.398,4.135
8234,lower leaflet,20.498,33.790,2.465,4.069
8235,lower leaflet,17.443,46.135,2.226,4.092
8236,lower leaflet,29.632,46.725,2.095,3.990
8237,lower leaflet,43.014,16.761,1.657,4.121
8238,lower leaflet,24.649,50.361,1.699,4.244
8239,lower leaflet,13.281,35.601,2.206,3.939
8240,lower leaflet,11.160,37.050,2.059,4.077
8241,lower leaflet,3.068,29.596,1.808,3.885
8242,lower leaflet,16.689,0.749,2.209,4.710
8243,lower leaflet,54.460,11.467,1.652,4.317
8244,lower leaflet,40.086,26.841,1.689,3.744
8245,lower leaflet,30.983,51.069,2.111,4.341
8246,lower leaflet,17.325,34.076,2.326,3.924
8247,lower leaflet,17.277,27.151,2.581,4.026
8248,lower leaflet,22.100,42.752,1.561,4.101
8249,lower leaflet,4.026,26.881,2.023,3.857
8250,lower leaflet,28.488,28.508,2.093,4.089
8251,lower leaflet,7.476,31.669,1.887,3.878
8252,lower leaflet,16.015,45.184,1.855,4.192
8253,lower leaflet,50.792,51.603,2.165,3.986
8254,lower leaflet,35.011,6.028,1.961,4.450
8255,lower leaflet,48.521,7.519,1.800,4.489
8256,lower leaflet,51.009,3.754,2.143,4.193
8257,lower leaflet,26.347,41.463,2.006,3.998
8258,lower leaflet,0.852,8.398,1.964,4.368
8259,lower leaflet,21.524,27.857,2.358,4.082
8260,lower leaflet,44.327,19.786,1.905,4.321
8261,lower leaflet,8.423,1.907,1.939,4.261
8262,lower leaflet,33.865,45.508,2.172,4.147
8263,lower leaflet,16.582,46.241,1.931,4.091
8264,lower leaflet,42.667,25.033,2.513,3.796
8265,lower leaflet,43.125,53.503,1.975,4.489
8266,lower leaflet,25.497,38.726,1.812,3.969
8267,lower leaflet,13.193,18.204,1.709,4.204
8268,lower leaflet,50.704,19.728,2.232,4.350
8269,lower leaflet,33.881,19.002,2.640,4.278
8270,lower leaflet,49.578,8.570,1.948,4.458
8271,lower leaflet,30.736,1.176,2.122,4.545
8272,lower leaflet,16.897,37.452,2.119,3.932
8273,lower leaflet,11.563,14.549,1.825,4.278
8274,lower leaflet,25.227,36.621,2.486,3.884
